Help:Special characters
Sha'arayim
Kir of Moab
Kumidi
Kamid al lawz
Lachish
Tel Megiddo
Qatna
Amman
Tel Rehov
Samaria (ancient city)
Sarepta
Sharuhen
HaBesor Stream
Tall al-Ajjul
Tel Haror
Shiloh (biblical city)
Sidon
Sodom and Gomorrah
Palmyra
Tall Zira'a
Tell Balata
Tell el-Hesi
Tell Kazel
Tell Qarqur
Tell Tweini
Tirzah (ancient city)
"Tyre, Lebanon"
Ugarit
Umm el-Marra
Tel Yokneam
Zeboim (Hebrew Bible)
Zemar
Zoara
Edit section: Arabian Peninsula
Enlarge
Horn of Africa
Red Sea
Al Ain
Al Buraimi Governorate
Tawam (region)
Oasis
Awwam
Hajar Am-Dhaybiyya
Barran Temple
Mecca
Barbar Temple
"Dhamar, Yemen"
Al-`Ula
Dalma (island)
Dibba
Dumat Al-Jandal
Ed-Dur
Eudaemon
Failaka Island
Gerrha
Haram (Yemen)
Iram of the Pillars
Julfar
Jubail
Khor Rori
Kaminahu
Lihyan
Mada'in Saleh
Ma'rib
Mleiha Archaeological Centre
Muweilah
Nashan
Nashaq
Petra
Qarnawu
Qaryat al-Faw
Qal'at al-Bahrain
Sirwah
Shabwa
Shimal
Tayma
Tell Abraq
Thaj
Tarout Island
Timna
Umm al-Nar Culture
Medina
"Zafar, Yemen"
Edit section: Kerma (Doukki Gel)
Jebel Barkal
Napata
Meroë
Axum
Edit section: Horn of Africa
Adulis
Keskese
"Matara, Eritrea"
Qohaito
Sembel
Yeha
Edit section: Egypt
List of ancient Egyptian towns and cities
Edit section: See also
Portal:Asia
City-state
Sumerian King List
Historical cities
Short chronology timeline
List of oldest continuously inhabited cities
Ancient towns in Saudi Arabia
List of Ancient Settlements in the UAE
Edit section: References
Marshall Cavendish
International Standard Book Number
Special:BookSources/978-0-7614-7571-2
Durham University
PDF
The National (Abu Dhabi)
Edit section: External links
commons:Category:Ancient Near East maps
Christian Science Monitor
Help:Category
Category:City-states
Category:Ancient cities of the Middle East
Category:Ancient Near East
Category:Lists of cities
Category:Ancient history-related lists
Category:All accuracy disputes
Category:Articles with disputed statements from August 2016
Category:Commons category link is locally defined
Category:Commons category link is on Wikidata using P373
Discussion about edits from this IP address [n]
A list of edits made from this IP address [y]
"You are encouraged to create an account and log in; however, it is not mandatory"
"You're encouraged to log in; however, it's not mandatory. [o]"
View the content page [c]
Discussion about the content page [t]
Edit this page [e]
Past revisions of this page [h]
Visit the main page
Visit the main page [z]
Guides to browsing Wikipedia
Featured content – the best of Wikipedia
Find background information on current events
Load a random article [x]
Support us
Visit the Wikipedia store
Guidance on how to use and edit Wikipedia
Find out about Wikipedia
"About the project, what you can do, where to find things"
A list of recent changes in the wiki [r]
How to contact Wikipedia
List of all English Wikipedia pages containing links to this page [j]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
More information about this page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
قائمة مدن الشرق الأدنى القديم – Arabic
Ciutats de l'antic Orient Mitjà – Catalan
Seznam starověkých měst Blízkého východu – Czech
Liste des villes du Proche-Orient ancien – French
Città del Vicino Oriente antico – Italian
Uru – Hungarian
Города древнего Ближнего Востока – Russian
Mesta starodavnega Bližnjega vzhoda – Slovenian
Muinaisen Lähi-idän kaupungit – Finnish
பண்டைய அண்மை கிழக்கின் நகரங்கள் – Tamil
Edit interlanguage links
wmf:Privacy policy
Wikipedia:About
Wikipedia:General disclaimer
